eventid,iyear,imonth,iday,nkill
198111290006,1981,11,29,8
198805030005,1988,5,3,0
198812230001,1988,12,23,2
198905220020,1989,5,22,4
198807020018,1988,7,2,0
198103270005,1981,3,27,0
198909020015,1989,9,2,0
198911260006,1989,11,26,0
198304170002,1983,4,17,0
198205160002,1982,5,16,0
198505160035,1985,5,16,0
198202150001,1982,2,15,0
197910280001,1979,10,28,0
197607090003,1976,7,9,0
198110230013,1981,10,23,0
198012150002,1980,12,15,0
198301220003,1983,1,22,0
198704060010,1987,4,6,0
198707280007,1987,7,28,1
198108270022,1981,8,27,0
198205040002,1982,5,4,0
198505160027,1985,5,16,0
198707210012,1987,7,21,0
198907200008,1989,7,20,0
198601090003,1986,1,9,0
198112020003,1981,12,2,0
198905040009,1989,5,4,4
198609100001,1986,9,10,0
198708180002,1987,8,18,0
198112030007,1981,12,3,0
198408180002,1984,8,18,0
198111230003,1981,11,23,0
198807180002,1988,7,18,0
198208040007,1982,8,4,0
198704100009,1987,4,10,0
198212180002,1982,12,18,0
198109230002,1981,9,23,0
198810060008,1988,10,6,0
198009130001,1980,9,13,0
198802230006,1988,2,23,0
198201010001,1982,1,1,0
197908070001,1979,8,7,0
198407090003,1984,7,9,0
198111080004,1981,11,8,9
198803150005,1988,3,15,0
198201210001,1982,1,21,0
198505080007,1985,5,8,0
198505160019,1985,5,16,0
198102230002,1981,2,23,0
198712040004,1987,12,4,0
198102030011,1981,2,3,0
198707230002,1987,7,23,0
198204230001,1982,4,23,0
198405060002,1984,5,6,0
198405210004,1984,5,21,0
198407100001,1984,7,10,0
198006190001,1980,6,19,3
198201190002,1982,1,19,0
198807180003,1988,7,18,0
198009030003,1980,9,3,0
198812060006,1988,12,6,0
198004160001,1980,4,16,0
198106230001,1981,6,23,0
198509170007,1985,9,17,0
198812060004,1988,12,6,0
197903310002,1979,3,31,0
198802150005,1988,2,15,0
198810190001,1988,10,19,0
198005230001,1980,5,23,0
198505160024,1985,5,16,0
198807020012,1988,7,2,0
198007230004,1980,7,23,0
198405300007,1984,5,30,2
198102090002,1981,2,9,0
197211150001,1972,11,15,0
198505170004,1985,5,17,0
198811050001,1988,11,5,0
198712140004,1987,12,14,0
198604230009,1986,4,23,0
198112290005,1981,12,29,0
198003110002,1980,3,11,0
198206100002,1982,6,10,0
198309060002,1983,9,6,0
198110090008,1981,10,9,0
198102050005,1981,2,5,0
198811120011,1988,11,12,0
198903010013,1989,3,1,0
198902210009,1989,2,21,0
198301090001,1983,1,9,5
198505160009,1985,5,16,0
198704050001,1987,4,5,0
198710110001,1987,10,11,0
198612280004,1986,12,28,2
