eventid,iyear,imonth,iday,nkill
198210070005,1982,10,7,10
198210070006,1982,10,7,0
198210080005,1982,10,8,2
198210080006,1982,10,8,5
198210080007,1982,10,8,6
198210090007,1982,10,9,6
198210140002,1982,10,14,1
198210140003,1982,10,14,1
198210140004,1982,10,14,3
198210140005,1982,10,14,1
198210140007,1982,10,14,1
198210140008,1982,10,14,7
198210150008,1982,10,15,5
198210170007,1982,10,17,20
198210190004,1982,10,19,5
198210200007,1982,10,20,114
198210220005,1982,10,22,0
198210230007,1982,10,23,50
198210260014,1982,10,26,7
198210260015,1982,10,26,124
198210260016,1982,10,26,10
198210270007,1982,10,27,76
198211030003,1982,11,3,9
198211140002,1982,11,14,2
198211140007,1982,11,14,1
198211150004,1982,11,15,2
198211170001,1982,11,17,4
198211260006,1982,11,26,6
198211290001,1982,11,29,3
198212010006,1982,12,1,5
198212050004,1982,12,5,32
198212060005,1982,12,6,100
198212100014,1982,12,10,23
198212240004,1982,12,24,5
198212260003,1982,12,26,2
198212280005,1982,12,28,0
198301010026,1983,1,1,2
198301030008,1983,1,3,9
198301040005,1983,1,4,4
198301060005,1983,1,6,1
198301070004,1983,1,7,2
198301070006,1983,1,7,4
198301070007,1983,1,7,5
198301160008,1983,1,16,0
198301170005,1983,1,17,4
198301170007,1983,1,17,1
198301190010,1983,1,19,12
198301220009,1983,1,22,11
198301250002,1983,1,25,12
198301250004,1983,1,25,25
198301260007,1983,1,26,4
198301260008,1983,1,26,5
198301270005,1983,1,27,75
198301290012,1983,1,29,9
198301310005,1983,1,31,60
198301310006,1983,1,31,10
198301310008,1983,1,31,2
198301310009,1983,1,31,15
198302060005,1983,2,6,5
198302070002,1983,2,7,5
198302080002,1983,2,8,25
198302110005,1983,2,11,1
198302120004,1983,2,12,20
198302130006,1983,2,13,2
198302170006,1983,2,17,30
198302170007,1983,2,17,25
198302180007,1983,2,18,31
198302200001,1983,2,20,25
198302210003,1983,2,21,15
198302220005,1983,2,22,11
198303010007,1983,3,1,9
198303010008,1983,3,1,16
198303030005,1983,3,3,2
198303060003,1983,3,6,15
198303150007,1983,3,15,21
198303150008,1983,3,15,14
198303150009,1983,3,15,70
198303160008,1983,3,16,15
198303220003,1983,3,22,1
198303220006,1983,3,22,5
198303220007,1983,3,22,23
198303260010,1983,3,26,1
198303260011,1983,3,26,5
198303280006,1983,3,28,1
198303300005,1983,3,30,4
198303300012,1983,3,30,4
198304020003,1983,4,2,23
198304030005,1983,4,3,1
198304030008,1983,4,3,15
198304030009,1983,4,3,12
198304030010,1983,4,3,41
198304030012,1983,4,3,11
198304040004,1983,4,4,3
198304070008,1983,4,7,10
198304080005,1983,4,8,75
198304100010,1983,4,10,16
198304150002,1983,4,15,40
198304150007,1983,4,15,2
198304170007,1983,4,17,12
198304170008,1983,4,17,56
198304210002,1983,4,21,13
198304220002,1983,4,22,1
198305010002,1983,5,1,25
198305010006,1983,5,1,9
198305010007,1983,5,1,18
198305010008,1983,5,1,2
198305020004,1983,5,2,10
198305020005,1983,5,2,28
198305020006,1983,5,2,25
198305050005,1983,5,5,16
198305050006,1983,5,5,20
198305060003,1983,5,6,2
198305060004,1983,5,6,15
198305060007,1983,5,6,3
198305070003,1983,5,7,45
198305080002,1983,5,8,120
198305080006,1983,5,8,90
198305080010,1983,5,8,17
198305110003,1983,5,11,102
198305110004,1983,5,11,12
198305120002,1983,5,12,25
198305130004,1983,5,13,22
198305170011,1983,5,17,78
198305200009,1983,5,20,4
198305200010,1983,5,20,5
198305220009,1983,5,22,7
198305220010,1983,5,22,7
198305230047,1983,5,23,4
198305230050,1983,5,23,6
198305240009,1983,5,24,6
198305300006,1983,5,30,2
198305300007,1983,5,30,8
198305300008,1983,5,30,2
198306050012,1983,6,5,32
